,Date,Open,High,Low,Close,Adj Close,Volume,LastClose,DailyRise,DailyRiseRate
0,2020-05-08,2908.830078,2932.159912,2902.8798829999996,2929.800049,2929.800049,4857160000,2881.189941,48.610107999999855,0.016871538841735756
1,2020-05-07,2878.26001,2901.919922,2876.47998,2881.189941,2881.189941,5164640000,2848.419922,32.77001900000005,0.011504630601302208
2,2020-05-06,2883.139893,2891.110107,2847.649902,2848.419922,2848.419922,4861920000,2868.439941,-20.020019000000048,-0.006979410206169642
3,2020-05-05,2868.8798829999996,2898.22998,2863.550049,2868.439941,2868.439941,5129590000,2842.73999,25.699951000000056,0.009040556326081745
4,2020-05-04,2815.01001,2844.23999,2797.850098,2842.73999,2842.73999,4723140000,2830.709961,12.030029000000013,0.004249827487006187
5,2020-05-01,2869.090088,2869.090088,2821.610107,2830.709961,2830.709961,4753160000,2912.429932,-81.71997099999999,-0.028059034176963673
6,2020-04-30,2930.909912,2930.909912,2892.469971,2912.429932,2912.429932,6523120000,2939.51001,-27.080077999999958,-0.009212446260728998
7,2020-04-29,2918.459961,2954.860107,2912.159912,2939.51001,2939.51001,6620140000,2863.389893,76.12011699999994,0.02658391621276842
8,2020-04-28,2909.959961,2921.149902,2860.709961,2863.389893,2863.389893,5672880000,2878.47998,-15.09008700000004,-0.00524238038994457
9,2020-04-27,2854.649902,2887.719971,2852.889893,2878.47998,2878.47998,5194260000,2836.73999,41.739990000000034,0.014714069723394013
10,2020-04-24,2812.639893,2842.709961,2791.76001,2836.73999,2836.73999,5374480000,2797.800049,38.93994100000009,0.013918057158487129
11,2020-04-23,2810.419922,2844.899902,2794.26001,2797.800049,2797.800049,5756520000,2799.310059,-1.5100099999999657,-0.0005394222033908555
12,2020-04-22,2787.889893,2815.100098,2775.949951,2799.310059,2799.310059,5049660000,2736.560059,62.75,0.022930247700439745
13,2020-04-21,2784.810059,2785.540039,2727.100098,2736.560059,2736.560059,5075830000,2823.159912,-86.59985300000017,-0.03067479551261075
